Plot,Species,Canopy,Aobs,g,Ci,VpdL,Tleaf,H2OR,H2OS,Flow,PAR,Press,Curve
15,1,1,6.31,0.0291,622,1.41,24.94,17.419,17.918,500.2,1998,98.2,1
15,1,1,6.21,0.0281,617,1.41,24.95,17.434,17.917,500.3,1800,98.2,1
15,1,1,6.81,0.0318,627,1.4,24.96,17.453,17.997,500.4,1500,98.21,1
15,1,1,6.43,0.0264,580,1.42,24.99,17.469,17.925,500.4,1002,98.21,1
15,1,1,6.26,0.0248,567,1.41,24.98,17.508,17.936,500.5,799,98.2,1
15,1,1,5.82,0.0229,565,1.41,25,17.634,18.028,500.4,501,98.21,1
15,1,1,5.36,0.0202,548,1.4,24.99,17.709,18.055,500.6,199,98.2,1
15,1,1,4.14,0.0162,567,1.4,24.99,17.816,18.094,500.7,99,98.21,1
15,1,1,2.41,0.0109,624,1.39,25.01,18.057,18.243,500.3,50,98.2,1
15,1,1,-0.0598,0.0088,988,1.38,24.98,18.133,18.282,500,1,98.22,1
15,1,1,5.34,0.0319,705,1.25,24.82,18.854,19.335,502.1,1999,98.27,2
15,1,1,5.04,0.0284,689,1.26,24.84,18.757,19.193,500.2,1800,98.27,2
15,1,1,5.14,0.0268,666,1.27,24.85,18.695,19.11,500.2,1499,98.27,2
15,1,1,5.35,0.0252,633,1.28,24.86,18.656,19.049,500.5,1001,98.27,2
15,1,1,4.77,0.0228,639,1.29,24.88,18.627,18.986,500.2,800,98.28,2
15,1,1,5.03,0.0207,585,1.3,24.89,18.583,18.912,500.3,499,98.28,2
15,1,1,4.31,0.0187,606,1.31,24.9,18.584,18.882,500.4,199,98.26,2
15,1,1,3.43,0.0169,651,1.3,24.9,18.669,18.937,500.4,101,98.27,2
15,1,1,2.09,0.0139,736,1.31,24.93,18.717,18.938,500.5,51,98.28,2
15,1,1,-0.0414,0.0123,983,1.3,24.87,18.683,18.879,500.3,1,98.27,2
11,2,1,8.95,0.0399,611,1.11,25.01,20.418,20.953,500.2,2000,98.73,3
11,2,1,7.91,0.0302,553,1.12,25.04,20.541,20.949,500.6,1800,98.72,3
11,2,1,8.08,0.0292,529,1.16,25.04,20.153,20.562,500.3,1500,98.73,3
11,2,1,7.48,0.0223,435,1.19,25.07,19.944,20.266,500.3,1001,98.72,3
11,2,1,7.2,0.0198,390,1.21,25.08,19.776,20.067,500.5,800,98.72,3
11,2,1,6.69,0.0176,366,1.23,25.09,19.65,19.913,500.2,499,98.72,3
11,2,1,5.37,0.0114,225,1.24,25.09,19.666,19.838,500.6,200,98.72,3
11,2,1,3.13,0.00751,313,1.23,25.09,19.764,19.877,500.4,101,98.72,3
11,2,1,1.99,0.00582,433,1.24,25.09,19.738,19.826,500.4,50,98.72,3
11,2,1,-0.0126,0.00357,985,1.24,25.05,19.698,19.752,500.3,0,98.72,3
